time_iso8601,forks_cumulative
2025-03-09 00:00:00+00:00,1
2025-03-26 00:00:00+00:00,2
2025-05-12 00:00:00+00:00,3
2025-05-19 00:00:00+00:00,4
2025-05-20 00:00:00+00:00,5
2025-06-04 00:00:00+00:00,6
2025-06-11 00:00:00+00:00,7
2025-06-12 00:00:00+00:00,8
2025-06-13 00:00:00+00:00,10
2025-06-14 00:00:00+00:00,11
2025-07-18 00:00:00+00:00,12
2025-08-08 00:00:00+00:00,13
2025-10-16 00:00:00+00:00,14
2025-10-21 00:00:00+00:00,15
2025-10-29 00:00:00+00:00,16
2025-10-30 00:00:00+00:00,17
2025-10-31 00:00:00+00:00,18
2025-11-10 00:00:00+00:00,19
2025-12-10 00:00:00+00:00,20
2025-12-11 00:00:00+00:00,21
2025-12-13 00:00:00+00:00,22
2025-12-18 00:00:00+00:00,23
2026-01-05 00:00:00+00:00,24
2026-01-11 00:00:00+00:00,25
2026-03-01 00:00:00+00:00,26
2026-04-03 00:00:00+00:00,27
2026-04-24 00:00:00+00:00,28
2026-06-04 00:00:00+00:00,29
2026-06-23 00:00:00+00:00,30
2026-07-02 00:00:00+00:00,31
2026-07-31 00:00:00+00:00,32
2026-08-04 00:00:00+00:00,33
2026-08-06 00:00:00+00:00,34
2026-08-17 00:00:00+00:00,35
2026-08-21 00:00:00+00:00,36
2026-08-22 00:00:00+00:00,37
