time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,27,3,9,8
2026-08-22 00:00:00+00:00,25,2,5,3
2026-08-23 00:00:00+00:00,20,2,6,5
2026-08-24 00:00:00+00:00,1,1,11,7
2026-08-25 00:00:00+00:00,0,0,9,6
2026-08-26 00:00:00+00:00,25,17,54,6
2026-08-27 00:00:00+00:00,5,3,6,5
2026-08-28 00:00:00+00:00,0,0,13,6
2026-08-29 00:00:00+00:00,3,3,0,0
2026-08-30 00:00:00+00:00,3,2,6,6
2026-08-31 00:00:00+00:00,4,2,9,8
2026-09-01 00:00:00+00:00,2,1,3,3
2026-09-02 00:00:00+00:00,2,1,4,4
2026-09-03 00:00:00+00:00,1,1,3,3
