time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,46,2,2,2
2026-08-12 00:00:00+00:00,41,2,4,4
2026-08-13 00:00:00+00:00,39,1,3,2
2026-08-14 00:00:00+00:00,42,1,3,3
2026-08-15 00:00:00+00:00,44,1,3,3
2026-08-16 00:00:00+00:00,33,1,1,1
2026-08-17 00:00:00+00:00,26,3,8,8
2026-08-18 00:00:00+00:00,24,1,4,4
2026-08-19 00:00:00+00:00,24,1,9,7
2026-08-20 00:00:00+00:00,25,2,3,3
2026-08-21 00:00:00+00:00,27,3,9,8
2026-08-22 00:00:00+00:00,25,2,5,3
2026-08-23 00:00:00+00:00,20,2,6,5
2026-08-24 00:00:00+00:00,1,1,11,7
2026-08-25 00:00:00+00:00,0,0,9,6
2026-08-26 00:00:00+00:00,25,17,54,6
2026-08-27 00:00:00+00:00,5,3,6,5
