time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,15,4,3,3
2026-09-03 00:00:00+00:00,0,0,4,4
2026-09-04 00:00:00+00:00,13,4,7,4
2026-09-05 00:00:00+00:00,16,7,32,18
2026-09-06 00:00:00+00:00,4,3,1,1
2026-09-07 00:00:00+00:00,0,0,2,2
2026-09-08 00:00:00+00:00,1,1,28,8
2026-09-09 00:00:00+00:00,0,0,21,6
2026-09-10 00:00:00+00:00,0,0,7,6
2026-09-11 00:00:00+00:00,2,2,9,4
2026-09-12 00:00:00+00:00,4,3,7,2
2026-09-13 00:00:00+00:00,0,0,0,0
2026-09-14 00:00:00+00:00,81,20,59,8
2026-09-15 00:00:00+00:00,36,12,32,10
