time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,43,1,5,4
2026-08-12 00:00:00+00:00,40,1,14,2
2026-08-13 00:00:00+00:00,40,1,27,7
2026-08-14 00:00:00+00:00,43,1,3,3
2026-08-15 00:00:00+00:00,48,1,2,2
2026-08-16 00:00:00+00:00,33,1,2,2
2026-08-17 00:00:00+00:00,26,2,5,2
2026-08-18 00:00:00+00:00,25,2,13,9
2026-08-19 00:00:00+00:00,25,2,7,6
2026-08-20 00:00:00+00:00,27,3,9,7
2026-08-21 00:00:00+00:00,28,2,13,6
2026-08-22 00:00:00+00:00,24,1,3,2
2026-08-23 00:00:00+00:00,19,1,4,4
2026-08-24 00:00:00+00:00,3,2,27,7
2026-08-25 00:00:00+00:00,3,2,20,10
2026-08-26 00:00:00+00:00,6,5,25,20
2026-08-27 00:00:00+00:00,9,9,4,3
2026-08-28 00:00:00+00:00,3,3,10,6
2026-08-29 00:00:00+00:00,2,1,2,2
