time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,43,2,0,0
2026-08-12 00:00:00+00:00,41,1,0,0
2026-08-13 00:00:00+00:00,41,1,0,0
2026-08-14 00:00:00+00:00,44,2,1,1
2026-08-15 00:00:00+00:00,45,1,0,0
2026-08-16 00:00:00+00:00,32,1,0,0
2026-08-17 00:00:00+00:00,24,1,0,0
2026-08-18 00:00:00+00:00,25,2,0,0
2026-08-19 00:00:00+00:00,24,1,0,0
2026-08-20 00:00:00+00:00,25,2,1,1
2026-08-21 00:00:00+00:00,24,1,2,1
2026-08-22 00:00:00+00:00,24,1,1,1
2026-08-23 00:00:00+00:00,20,2,0,0
2026-08-24 00:00:00+00:00,8,7,20,3
2026-08-25 00:00:00+00:00,0,0,1,1
2026-08-26 00:00:00+00:00,0,0,0,0
2026-08-27 00:00:00+00:00,0,0,0,0
2026-08-28 00:00:00+00:00,0,0,0,0
2026-08-29 00:00:00+00:00,0,0,0,0
2026-08-30 00:00:00+00:00,3,3,0,0
2026-08-31 00:00:00+00:00,1,1,0,0
2026-09-01 00:00:00+00:00,3,2,0,0
2026-09-02 00:00:00+00:00,0,0,0,0
