time_iso8601,forks_cumulative
2026-02-09 00:00:00+00:00,2
2026-02-12 00:00:00+00:00,3
2026-03-02 00:00:00+00:00,5
2026-03-03 00:00:00+00:00,6
2026-03-07 00:00:00+00:00,7
2026-03-12 00:00:00+00:00,8
2026-04-01 00:00:00+00:00,9
2026-04-14 00:00:00+00:00,11
2026-04-27 00:00:00+00:00,12
2026-04-30 00:00:00+00:00,13
2026-05-05 00:00:00+00:00,14
2026-05-06 00:00:00+00:00,15
2026-05-07 00:00:00+00:00,17
2026-05-08 00:00:00+00:00,18
2026-05-09 00:00:00+00:00,19
2026-05-12 00:00:00+00:00,20
2026-05-13 00:00:00+00:00,21
2026-05-14 00:00:00+00:00,22
2026-05-18 00:00:00+00:00,23
2026-05-22 00:00:00+00:00,25
2026-06-03 00:00:00+00:00,26
2026-06-04 00:00:00+00:00,28
2026-06-05 00:00:00+00:00,29
2026-06-08 00:00:00+00:00,30
2026-06-09 00:00:00+00:00,31
2026-06-15 00:00:00+00:00,32
2026-06-17 00:00:00+00:00,34
2026-06-18 00:00:00+00:00,35
2026-07-16 00:00:00+00:00,36
2026-07-28 00:00:00+00:00,37
2026-07-30 00:00:00+00:00,38
2026-08-06 00:00:00+00:00,39
2026-08-21 00:00:00+00:00,40
2026-08-24 00:00:00+00:00,41
2026-09-01 00:00:00+00:00,42
