time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,126,35,97,42
2026-09-04 00:00:00+00:00,1008,65,407,44
2026-09-05 00:00:00+00:00,284,44,102,14
2026-09-06 00:00:00+00:00,69,25,23,12
2026-09-07 00:00:00+00:00,680,92,189,47
2026-09-08 00:00:00+00:00,361,49,207,53
2026-09-09 00:00:00+00:00,379,75,135,25
2026-09-10 00:00:00+00:00,309,57,179,54
2026-09-11 00:00:00+00:00,649,86,172,33
2026-09-12 00:00:00+00:00,38,22,92,32
2026-09-13 00:00:00+00:00,150,49,90,25
2026-09-14 00:00:00+00:00,394,69,246,79
2026-09-15 00:00:00+00:00,1330,149,620,85
2026-09-16 00:00:00+00:00,515,85,134,31
