time_iso8601,stars_cumulative
2026-02-06 00:00:00+00:00,1
2026-02-07 00:00:00+00:00,3
2026-02-08 00:00:00+00:00,4
2026-02-09 00:00:00+00:00,7
2026-02-10 00:00:00+00:00,12
2026-02-11 00:00:00+00:00,14
2026-02-12 00:00:00+00:00,15
2026-02-16 00:00:00+00:00,16
2026-02-18 00:00:00+00:00,20
2026-02-25 00:00:00+00:00,22
2026-03-09 00:00:00+00:00,23
2026-03-15 00:00:00+00:00,24
2026-03-17 00:00:00+00:00,25
2026-03-18 00:00:00+00:00,28
2026-03-19 00:00:00+00:00,29
2026-03-20 00:00:00+00:00,30
2026-03-26 00:00:00+00:00,31
2026-03-29 00:00:00+00:00,33
2026-03-30 00:00:00+00:00,34
2026-04-02 00:00:00+00:00,35
2026-04-03 00:00:00+00:00,36
2026-04-14 00:00:00+00:00,37
2026-04-23 00:00:00+00:00,38
2026-04-26 00:00:00+00:00,39
2026-04-27 00:00:00+00:00,40
2026-04-29 00:00:00+00:00,41
2026-05-02 00:00:00+00:00,42
2026-05-04 00:00:00+00:00,43
2026-05-06 00:00:00+00:00,44
2026-05-13 00:00:00+00:00,45
2026-05-18 00:00:00+00:00,46
2026-05-19 00:00:00+00:00,47
2026-06-03 00:00:00+00:00,48
2026-06-04 00:00:00+00:00,49
2026-06-09 00:00:00+00:00,53
2026-06-11 00:00:00+00:00,55
2026-06-12 00:00:00+00:00,56
2026-06-14 00:00:00+00:00,57
2026-06-17 00:00:00+00:00,58
2026-06-19 00:00:00+00:00,59
2026-06-20 00:00:00+00:00,60
2026-06-22 00:00:00+00:00,61
2026-06-25 00:00:00+00:00,62
2026-07-01 00:00:00+00:00,63
2026-07-03 00:00:00+00:00,64
2026-07-05 00:00:00+00:00,67
2026-07-07 00:00:00+00:00,68
2026-07-20 00:00:00+00:00,69
2026-08-04 00:00:00+00:00,70
2026-08-05 00:00:00+00:00,71
2026-08-08 00:00:00+00:00,73
2026-08-11 00:00:00+00:00,75
2026-08-12 00:00:00+00:00,76
2026-08-13 00:00:00+00:00,77
2026-08-14 00:00:00+00:00,79
2026-08-18 00:00:00+00:00,80
2026-08-20 00:00:00+00:00,83
2026-08-21 00:00:00+00:00,84
2026-08-22 00:00:00+00:00,86
2026-08-23 00:00:00+00:00,88
2026-08-25 00:00:00+00:00,89
