time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,1685,187,146,24
2026-08-12 00:00:00+00:00,1832,79,32,15
2026-08-13 00:00:00+00:00,47,10,90,29
2026-08-14 00:00:00+00:00,519,51,151,37
2026-08-15 00:00:00+00:00,597,403,77,9
2026-08-16 00:00:00+00:00,40,9,15,5
2026-08-17 00:00:00+00:00,1039,61,82,19
2026-08-18 00:00:00+00:00,1079,78,221,45
2026-08-19 00:00:00+00:00,81,24,96,25
2026-08-20 00:00:00+00:00,263,29,117,29
2026-08-21 00:00:00+00:00,2119,72,112,42
2026-08-22 00:00:00+00:00,1161,30,84,11
2026-08-23 00:00:00+00:00,538,25,61,20
2026-08-24 00:00:00+00:00,1023,59,114,27
2026-08-25 00:00:00+00:00,92,28,76,22
2026-08-26 00:00:00+00:00,394,53,53,26
2026-08-27 00:00:00+00:00,146,34,67,26
