time_iso8601,forks_cumulative
2025-10-31 00:00:00+00:00,1
2025-12-01 00:00:00+00:00,2
2025-12-02 00:00:00+00:00,3
2025-12-09 00:00:00+00:00,5
2025-12-10 00:00:00+00:00,6
2025-12-11 00:00:00+00:00,7
2025-12-12 00:00:00+00:00,8
2025-12-13 00:00:00+00:00,9
2025-12-15 00:00:00+00:00,10
2025-12-16 00:00:00+00:00,11
2026-02-07 00:00:00+00:00,12
2026-03-01 00:00:00+00:00,13
2026-05-06 00:00:00+00:00,14
2026-05-21 00:00:00+00:00,15
2026-08-07 00:00:00+00:00,16
2026-08-18 00:00:00+00:00,21
2026-08-21 00:00:00+00:00,22
