url_path,views_total,views_unique
/roostorg/model-community,126,71
/roostorg/model-community/tree/main/resources/policy-packs,53,16
/roostorg/model-community/tree/main/resources,23,6
/roostorg/model-community/discussions/102,19,9
/roostorg/model-community/new/main/resources/policy-packs,15,3
/roostorg/model-community/issues,12,7
/roostorg/model-community/tree/main/projects,12,5
/roostorg/model-community/tree/main/resources/policy-packs/christchurch-call-foundation,12,5
/roostorg/model-community/pull/105,10,4
/roostorg/model-community/pulls,10,4
