time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,5,2,5,3
2026-09-08 00:00:00+00:00,3,2,11,4
2026-09-09 00:00:00+00:00,20,8,66,10
2026-09-10 00:00:00+00:00,20,10,22,16
2026-09-11 00:00:00+00:00,3,3,33,15
2026-09-12 00:00:00+00:00,4,3,9,8
2026-09-13 00:00:00+00:00,9,6,4,2
2026-09-14 00:00:00+00:00,4,4,12,8
2026-09-15 00:00:00+00:00,3,2,22,7
2026-09-16 00:00:00+00:00,56,25,186,30
2026-09-17 00:00:00+00:00,5,4,31,18
2026-09-18 00:00:00+00:00,8,4,65,13
2026-09-19 00:00:00+00:00,3,1,11,6
2026-09-20 00:00:00+00:00,3,2,19,7
