time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,0,0,21,12
2026-08-12 00:00:00+00:00,2,1,15,5
2026-08-13 00:00:00+00:00,1,1,24,9
2026-08-14 00:00:00+00:00,4,3,33,11
2026-08-15 00:00:00+00:00,0,0,2,2
2026-08-16 00:00:00+00:00,3,2,12,6
2026-08-17 00:00:00+00:00,0,0,25,15
2026-08-18 00:00:00+00:00,37,29,320,18
2026-08-19 00:00:00+00:00,28,21,164,37
2026-08-20 00:00:00+00:00,9,6,64,31
2026-08-21 00:00:00+00:00,6,1,33,15
2026-08-22 00:00:00+00:00,3,3,12,3
2026-08-23 00:00:00+00:00,7,5,14,8
2026-08-24 00:00:00+00:00,7,5,55,13
2026-08-25 00:00:00+00:00,3,2,10,6
2026-08-26 00:00:00+00:00,6,5,21,11
