time_iso8601,forks_cumulative
2025-09-17 00:00:00+00:00,1
2025-10-10 00:00:00+00:00,2
2025-10-15 00:00:00+00:00,3
2025-10-18 00:00:00+00:00,4
2025-10-30 00:00:00+00:00,8
2025-11-20 00:00:00+00:00,9
2025-12-12 00:00:00+00:00,10
2025-12-29 00:00:00+00:00,11
2026-01-11 00:00:00+00:00,12
2026-02-05 00:00:00+00:00,13
2026-02-14 00:00:00+00:00,14
2026-02-21 00:00:00+00:00,15
2026-02-23 00:00:00+00:00,16
2026-02-24 00:00:00+00:00,17
2026-02-25 00:00:00+00:00,21
2026-02-26 00:00:00+00:00,23
2026-02-28 00:00:00+00:00,25
2026-03-01 00:00:00+00:00,26
2026-03-03 00:00:00+00:00,27
2026-03-05 00:00:00+00:00,28
2026-03-07 00:00:00+00:00,30
2026-03-09 00:00:00+00:00,31
2026-03-10 00:00:00+00:00,32
2026-03-23 00:00:00+00:00,33
2026-03-25 00:00:00+00:00,34
2026-03-31 00:00:00+00:00,35
2026-04-02 00:00:00+00:00,36
2026-04-08 00:00:00+00:00,37
2026-04-27 00:00:00+00:00,38
2026-05-06 00:00:00+00:00,39
2026-05-07 00:00:00+00:00,40
2026-05-11 00:00:00+00:00,41
2026-05-13 00:00:00+00:00,42
2026-06-08 00:00:00+00:00,43
2026-06-13 00:00:00+00:00,44
2026-06-27 00:00:00+00:00,45
2026-06-29 00:00:00+00:00,46
2026-06-30 00:00:00+00:00,47
2026-07-08 00:00:00+00:00,48
2026-07-14 00:00:00+00:00,50
2026-07-16 00:00:00+00:00,51
2026-08-07 00:00:00+00:00,53
2026-08-11 00:00:00+00:00,54
2026-08-13 00:00:00+00:00,55
2026-08-21 00:00:00+00:00,56
2026-08-24 00:00:00+00:00,57
2026-09-01 00:00:00+00:00,58
